,sujeto,lados,angulo,combinacion,mediana,ciclo
195,AB08_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.01401996612548825,swing
196,AB08_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.01661634445190425,full
197,AB08_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.0029678344726562,nods
198,AB08_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.00381231307983395,stance
199,AB08_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.02647733688354485,swing
200,AB08_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.4435367584228515,full
201,AB08_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.00445508956909175,nods
202,AB08_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.02388143539428705,stance
203,AB08_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.44188356399536133,swing
204,AB08_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.34687232971191406,full
205,AB08_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.00023174285888665,nods
206,AB08_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.01748609542846675,stance
207,AB08_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.03701639175415035,swing
208,AB08_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.12312030792236325,full
209,AB08_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.0019421577453613,nods
210,AB08_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.05027818679809565,stance
211,AB08_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.0919432640075683,swing
212,AB08_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.0450677871704101,full
213,AB08_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.0014014244079589501,nods
214,AB08_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.0016608238220214501,stance
215,AB08_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.0281414985656738,swing
216,AB08_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.29521751403808594,full
217,AB08_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.00053119659423825,nods
218,AB08_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.11173295974731445,stance
219,AB08_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.1737146377563476,swing
220,AB08_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.017775535583496052,full
221,AB08_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.0011425018310546,nods
222,AB08_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.011176109313964799,stance
223,AB08_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.041512966156005804,swing
224,AB08_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.1295061111450195,full
225,AB08_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.0029964447021484,nods
226,AB08_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.02233839035034175,stance
227,AB08_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.048764228820800753,swing
228,AB08_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.2949104309082031,full
229,AB08_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.00191974639892575,nods
230,AB08_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.0207653045654296,stance
231,AB08_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.03703689575195305,swing
232,AB08_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.1447372436523437,full
233,AB08_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.013350009918212849,nods
234,AB08_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.09762287139892575,stance
235,AB08_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.21346902847290034,swing
236,AB08_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00138998031616205,full
237,AB08_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00063705444335935,nods
238,AB08_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.0014319419860839,stance
239,AB08_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00180244445800775,swing
240,AB08_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.2432022094726562,full
241,AB08_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.00011682510375975,nods
242,AB08_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.0876626968383789,stance
243,AB08_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.1150283813476562,swing
244,AB08_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.0026683807373046,full
245,AB08_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.000185489654541,nods
246,AB08_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.00780010223388665,stance
247,AB08_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.034672737121582003,swing
248,AB08_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0953474044799804,full
249,AB08_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.00532341003417965,nods
250,AB08_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0200409889221191,stance
251,AB08_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0559501647949218,swing
252,AB08_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.3337259292602539,full
253,AB08_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.0008435249328612999,nods
254,AB08_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.0910873413085937,stance
255,AB08_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.089116096496582,swing
256,AB08_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.1385259628295898,full
257,AB08_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.009963035583496049,nods
258,AB08_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.0943374633789062,stance
259,AB08_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.24076890945434565,swing
260,AB08_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.020926475524902302,full
